carrot;Europe ;usually has orange collour , but also can be dark red
cucumber;Nedds warmth to grow;great for your eyes with lots of watter
Celery;likes cooler regions;green, thin and tall
Lettuce;All over the world;wavy
Cauliflower;grows in ground;brocoli ghost
Beet;grows in ground;red and round
potato;South America;Lithuanians use it for cepelins
cabbage;Europe ;"Germans use to make ""Sauerkraut"""
onion;Europe ;Makes you cry if you cut it
pumpkin;Europe ;is used for decoration in halloween
broccoli;Europe ;Is green and looks like a small tree
